cmd logfilename ps_name
u0_a198   4250  373   1854440 94672 sys_epoll_ 00000000 S com.qualcomm.ftcrobotcontroller
4250
03-08 16:42:51.501  4250 16323 D backRightPower: : 0.0
03-08 16:42:51.501  4250 16323 D frontLeftPower: : 0.0
03-08 16:42:51.501  4250 16323 D frontRightPower: : 0.0
03-08 16:42:51.501  4250 16323 D backLeftVelocity: : -0.0
03-08 16:42:51.511  4250 16323 D backRightVelocity: : 0.0
03-08 16:42:51.511  4250 16323 D frontLeftVelocity: : -0.0
03-08 16:42:51.521  4250 16323 D frontRightVelocity: : 0.0
03-08 16:42:51.541  4250 16323 D backLeftPower: : 0.0
03-08 16:42:51.541  4250 16323 D backRightPower: : 0.0
03-08 16:42:51.541  4250 16323 D frontLeftPower: : 0.0
03-08 16:42:51.541  4250 16323 D frontRightPower: : 0.0
03-08 16:42:51.541  4250 16323 D backLeftVelocity: : -0.0
03-08 16:42:51.551  4250 16323 D backRightVelocity: : 0.0
03-08 16:42:51.551  4250 16323 D frontLeftVelocity: : -0.0
03-08 16:42:51.561  4250 16323 D frontRightVelocity: : 0.0
03-08 16:42:51.591  4250 16323 D backLeftPower: : 0.0
03-08 16:42:51.591  4250 16323 D backRightPower: : 0.0
03-08 16:42:51.591  4250 16323 D frontLeftPower: : 0.0
03-08 16:42:51.591  4250 16323 D frontRightPower: : 0.0
03-08 16:42:51.591  4250 16323 D backLeftVelocity: : -0.0
03-08 16:42:51.601  4250 16323 D backRightVelocity: : 0.0
03-08 16:42:51.601  4250 16323 D frontLeftVelocity: : -0.0
03-08 16:42:51.611  4250 16323 D frontRightVelocity: : 0.0
03-08 16:42:51.641  4250 16323 D backLeftPower: : 0.0
03-08 16:42:51.641  4250 16323 D backRightPower: : 0.0
03-08 16:42:51.641  4250 16323 D frontLeftPower: : 0.0
03-08 16:42:51.641  4250 16323 D frontRightPower: : 0.0
03-08 16:42:51.641  4250 16323 D backLeftVelocity: : -0.0
03-08 16:42:51.641  4250 16323 D backRightVelocity: : 0.0
03-08 16:42:51.651  4250 16323 D frontLeftVelocity: : -0.0
03-08 16:42:51.651  4250 16323 D frontRightVelocity: : 0.0
03-08 16:42:51.691  4250 16323 D backLeftPower: : 0.0
03-08 16:42:51.691  4250 16323 D backRightPower: : 0.0
03-08 16:42:51.691  4250 16323 D frontLeftPower: : 0.0
03-08 16:42:51.691  4250 16323 D frontRightPower: : 0.0
03-08 16:42:51.691  4250 16323 D backLeftVelocity: : -0.0
03-08 16:42:51.691  4250 16323 D backRightVelocity: : 0.0
03-08 16:42:51.701  4250 16323 D frontLeftVelocity: : -0.0
03-08 16:42:51.701  4250 16323 D frontRightVelocity: : 0.0
03-08 16:42:51.751  4250 16323 D backLeftPower: : 0.0
03-08 16:42:51.751  4250 16323 D backRightPower: : 0.0
03-08 16:42:51.751  4250 16323 D frontLeftPower: : 0.0
03-08 16:42:51.751  4250 16323 D frontRightPower: : 0.0
03-08 16:42:51.761  4250 16323 D backLeftVelocity: : -0.0
03-08 16:42:51.761  4250 16323 D backRightVelocity: : 0.0
03-08 16:42:51.771  4250 16323 D frontLeftVelocity: : -0.0
03-08 16:42:51.771  4250 16323 D frontRightVelocity: : 0.0
03-08 16:42:51.801  4250 16323 D backLeftPower: : 0.0
03-08 16:42:51.801  4250 16323 D backRightPower: : 0.0
03-08 16:42:51.801  4250 16323 D frontLeftPower: : 0.0
03-08 16:42:51.801  4250 16323 D frontRightPower: : 0.0
03-08 16:42:51.811  4250 16323 D backLeftVelocity: : -0.0
03-08 16:42:51.811  4250 16323 D backRightVelocity: : 0.0
03-08 16:42:51.811  4250 16323 D frontLeftVelocity: : -0.0
