cmd logfilename ps_name
u0_a198   4250  373   1845928 89108 sys_epoll_ 00000000 S com.qualcomm.ftcrobotcontroller
4250
03-08 16:24:25.711   928  1585 I am_proc_start: [0,4250,10198,com.qualcomm.ftcrobotcontroller,activity,com.qualcomm.ftcrobotcontroller/org.firstinspires.ftc.robotcontroller.internal.FtcRobotControllerActivity]
03-08 16:36:42.841  4250 15854 D frontLeftVelocity: : 1080.0
03-08 16:36:42.851  4250 15854 D frontRightVelocity: : 900.0
03-08 16:36:42.881  4250 15854 D backLeftPower: : 0.0
03-08 16:36:42.881  4250 15854 D backRightPower: : 0.0
03-08 16:36:42.881  4250 15854 D frontLeftPower: : 0.0
03-08 16:36:42.881  4250 15854 D frontRightPower: : 0.0
03-08 16:36:42.881  4250 15854 D backLeftVelocity: : 300.0
03-08 16:36:42.891  4250 15854 D backRightVelocity: : 480.0
03-08 16:36:42.891  4250 15854 D frontLeftVelocity: : 1140.0
03-08 16:36:42.901  4250 15854 D frontRightVelocity: : 720.0
03-08 16:36:42.941  4250 15854 D backLeftPower: : 0.0
03-08 16:36:42.941  4250 15854 D backRightPower: : 0.0
03-08 16:36:42.941  4250 15854 D frontLeftPower: : 0.0
03-08 16:36:42.941  4250 15854 D frontRightPower: : 0.0
03-08 16:36:42.951  4250 15854 D backLeftVelocity: : 580.0
03-08 16:36:42.951  4250 15854 D backRightVelocity: : 440.0
03-08 16:36:42.961  4250 15854 D frontLeftVelocity: : 940.0
03-08 16:36:42.961  4250 15854 D frontRightVelocity: : 800.0
03-08 16:36:42.991  4250 15854 D backLeftPower: : 0.0
03-08 16:36:42.991  4250 15854 D backRightPower: : 0.0
03-08 16:36:42.991  4250 15854 D frontLeftPower: : 0.0
03-08 16:36:42.991  4250 15854 D frontRightPower: : 0.0
03-08 16:36:43.001  4250 15854 D backLeftVelocity: : 420.0
03-08 16:36:43.001  4250 15854 D backRightVelocity: : 300.0
03-08 16:36:43.001  4250 15854 D frontLeftVelocity: : 800.0
03-08 16:36:43.011  4250 15854 D frontRightVelocity: : 700.0
03-08 16:36:43.041  4250 15854 D backLeftPower: : 0.0
03-08 16:36:43.041  4250 15854 D backRightPower: : 0.0
03-08 16:36:43.041  4250 15854 D frontLeftPower: : -0.4298100207788224
03-08 16:36:43.041  4250 15854 D frontRightPower: : -0.4298100207788225
03-08 16:36:43.051  4250 15854 D backLeftVelocity: : 560.0
03-08 16:36:43.051  4250 15854 D backRightVelocity: : 340.0
03-08 16:36:43.061  4250 15854 D frontLeftVelocity: : 640.0
03-08 16:36:43.071  4250 15854 D frontRightVelocity: : 440.0
03-08 16:36:43.111  4250 15854 D backLeftPower: : -0.7071067811865477
03-08 16:36:43.111  4250 15854 D backRightPower: : -0.7071067811865475
03-08 16:36:43.111  4250 15854 D frontLeftPower: : -0.7071067811865475
03-08 16:36:43.111  4250 15854 D frontRightPower: : -0.7071067811865477
03-08 16:36:43.121  4250 15854 D backLeftVelocity: : 280.0
03-08 16:36:43.121  4250 15854 D backRightVelocity: : 140.0
03-08 16:36:43.131  4250 15854 D frontLeftVelocity: : 200.0
03-08 16:36:43.131  4250 15854 D frontRightVelocity: : -360.0
03-08 16:36:43.171  4250 15854 D backLeftPower: : -0.7071067811865477
03-08 16:36:43.171  4250 15854 D backRightPower: : -0.7071067811865475
03-08 16:36:43.171  4250 15854 D frontLeftPower: : -0.7071067811865475
03-08 16:36:43.171  4250 15854 D frontRightPower: : -0.7071067811865477
03-08 16:36:43.171  4250 15854 D backLeftVelocity: : -880.0
03-08 16:36:43.181  4250 15854 D backRightVelocity: : -1000.0
03-08 16:36:43.181  4250 15854 D frontLeftVelocity: : -80.0
03-08 16:36:43.181  4250 15854 D frontRightVelocity: : -160.0
03-08 16:36:43.211  4250 15854 D backLeftPower: : -0.7071067811865477
03-08 16:36:43.211  4250 15854 D backRightPower: : -0.7071067811865475
03-08 16:36:43.211  4250 15854 D frontLeftPower: : -0.7071067811865475
03-08 16:36:43.211  4250 15854 D frontRightPower: : -0.7071067811865477
03-08 16:36:43.211  4250 15854 D backLeftVelocity: : -960.0
03-08 16:36:43.221  4250 15854 D backRightVelocity: : -1260.0
03-08 16:36:43.221  4250 15854 D frontLeftVelocity: : -180.0
03-08 16:36:43.221  4250 15854 D frontRightVelocity: : -240.0
03-08 16:36:43.241  4250 15854 D backLeftPower: : -0.7071067811865477
03-08 16:36:43.241  4250 15854 D backRightPower: : -0.7071067811865475
03-08 16:36:43.241  4250 15854 D frontLeftPower: : -0.7071067811865475
03-08 16:36:43.241  4250 15854 D frontRightPower: : -0.7071067811865477
03-08 16:36:43.251  4250 15854 D backLeftVelocity: : -820.0
03-08 16:36:43.251  4250 15854 D backRightVelocity: : -1180.0
03-08 16:36:43.261  4250 15854 D frontLeftVelocity: : -400.0
03-08 16:36:43.271  4250 15854 D frontRightVelocity: : -420.0
03-08 16:36:43.291  4250 15854 D backLeftPower: : -0.7071067811865477
03-08 16:36:43.291  4250 15854 D backRightPower: : -0.7071067811865475
